SampleName,SampleID,Location,CollectionDate,HempType
COI-A,A,LocationA,Early,Fiber
COI-B,B,LocationA,Middle,Fiber
COI-C,C,LocationA,Late,Fiber
COI-D,D,LocationA,Late,Fiber
COI-E,E,LocationB1,Early,Fiber
COI-F,F,LocationB1,Middle,Fiber
COI-G,G,LocationB1,Late,Fiber
COI-H,H,LocationE,Early,CBD
COI-I,I,LocationE,Middle,CBD
COI-J,J,LocationD,Early,CBD
COI-K,K,LocationD,Middle,CBD
COI-L,L,LocationC,Early,CBD
COI-M,M,LocationC,Middle,CBD
COI-N,N,LocationB2,Early,Fiber
COI-O,O,LocationB2,Middle,Fiber
COI-P,P,LocationB2,Late,Fiber
COI-Q,Q,Mock-Match,Mock,Mock
COI-R,R,Mock-Mismatch,Mock,Mock
