SampleName,SampleID,Location,CollectionDate,HempType
ITS-A,A,LocationA,Early,Fiber
ITS-B,B,LocationA,Middle,Fiber
ITS-C,C,LocationA,Late,Fiber
ITS-D,D,LocationA,Late,Fiber
ITS-E,E,LocationB1,Early,Fiber
ITS-F,F,LocationB1,Middle,Fiber
ITS-G,G,LocationB1,Late,Fiber
ITS-H,H,LocationE,Early,CBD
ITS-I,I,LocationE,Middle,CBD
ITS-J,J,LocationD,Early,CBD
ITS-K,K,LocationD,Middle,CBD
ITS-L,L,LocationC,Early,CBD
ITS-M,M,LocationC,Middle,CBD
ITS-N,N,LocationB2,Early,Fiber
ITS-O,O,LocationB2,Middle,Fiber
ITS-P,P,LocationB2,Late,Fiber
ITS-Q,Q,Mock-Match,Mock,Mock
ITS-R,R,Mock-Mismatch,Mock,Mock
